OBJECTID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,STREETSUFF,CITY,STATE,zipcode,PRKTYPE,PRKCAT,PRKSTATUS,PRKDIST,PRKSIZE,PRKXCOORD,PRKYCOORD,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,UPSIZE_TS,X,Y,LEASEDID,parklatitude,parklongitude
246,ADAJ,Ada Jenkins Athletic Field,212 GAMBLE ST,212,,GAMBLE,ST,,DAVIDSON,NC,28036,Town Park,General,Developed,North,,,,7049409641,,,,District 1,,,,1448256.883,641544.6432,Davidson,35.498932,-80.853763
320,LEGP,Legion Park,21214 LEGION ST,21214,,LEGION,ST,,CORNELIUS,NC,28031,Town Park,General,Developed,North,,,,7048926031,,,,District 1,,,,1446308.277,637457.2412,Cornelius,35.487004,-80.860143
333,TRCP,Torrence Chapel Park,21309 TORRENCE CHAPEL RD,21309,,TORRENCE CHAPEL,RD,,CORNELIUS,NC,28031,Town Park,General,Developed,North,,,,7048926031,,,,District 1,,,,1440746.589,639443.9233,Cornelius,35.492106,-80.878667
48,VETS,Veterans Park,2136 CENTRAL AV,2136, ,CENTRAL,AV, ,CHARLOTTE,NC,28205,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1461194.792,539774.3774,Mecklenburg,35.217761,-80.804968
262,IRWN,Rays Splash Planet,215 N SYCAMORE ST,215,N,SYCAMORE,ST, ,CHARLOTTE,NC,28202,Aquatic Center,Sports,Developed,Central,,,,9803144729,,,District 2,District 4,1998/10/06 00:00:00+00,,,1447182.965,546670.2976,Mecklenburg,35.238094,-80.851339
114,COLN,Colonial Park,219 PROVIDENCE RD,219, ,PROVIDENCE,RD, ,CHARLOTTE,NC,28207,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 5,1998/07/28 00:00:00+00,,,1455178.719,535075.1338,Mecklenburg,35.206589,-80.823709
89,TRYH,Tryon Hills Park,220 W 30TH ST,220,W,30TH,ST, ,CHARLOTTE,NC,28206,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 3,1998/07/28 00:00:00+00,,,1457376.334,550990.9483,Mecklenburg,35.250555,-80.817381
327,HUNT,Huntingtowne Farms Park,2200 RAMBLEWOOD LN,2400, ,RAMBLEWOOD,LN, ,CHARLOTTE,NC,28210,Community,General,Developed,South,,,,9803141003,,,District 6,District 5,1998/07/28 00:00:00+00,,,1443153.452,506777.1969,Mecklenburg,35.127527,-80.86335
236,AFRM,Abersham Park,22031 SHEARER RD,22031, ,SHEARER,RD, ,DAVIDSON,NC,28036,Town Park,General,Developed,North,,,,7048923349,,,,District 1,2008/04/17 00:00:00+00,,,1465333.359,644219.2039,Davidson,35.506512,-80.796503
267,ANSP,Anita Stroud Park,2215 DOUBLE OAKS RD,2215, ,DOUBLE OAKS,RD, ,CHARLOTTE,NC,28206,Neighborhood,General,Developed,Central,,,,9803141002,,,District 2,District 2,2007/04/20 00:00:00+00,,,1450370.587,551900.0398,Mecklenburg,35.252655,-80.842249
139,MDLP,Marion Diehl Park,2219 TYVOLA RD,2219, ,TYVOLA,RD, ,CHARLOTTE,NC,28210,Community,General,Developed,South,,,,9803141003,,,District 6,District 5,1998/07/28 00:00:00+00,,,1444771.988,518024.4086,Mecklenburg,35.160467,-80.857624
172,MDLC,Marion Diehl Recreation Center & Pool,2219 TYVOLA RD,2219, ,TYVOLA,RD, ,CHARLOTTE,NC,28210,Recreation Center,RecCenter,Developed,South,,,,9803141003,,,District 6,District 5,1998/07/28 00:00:00+00,,,1444863.519,518404.9716,Mecklenburg,35.160467,-80.857624
232,CHTY,Chantilly Park,222 WYANOKE AV,222, ,WYANOKE,AV, ,CHARLOTTE,NC,28205,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1459684.67,535404.7833,Mecklenburg,35.207352,-80.808592
289,TYVS,Tyvola Senior Center,2225 TYVOLA RD,0, , , , ,CHARLOTTE,NC,28210,Senior Center,SeniorCenter,Developed,South,,,,9803141320,,,District 6,District 5,1998/11/17 00:00:00+00,,,1444246.537,518360.6952,Mecklenburg,35.160122,-80.85949
126,FRND,Friendship Sportsplex,2310 CINDY LN,2310, ,CINDY,LN, ,CHARLOTTE,NC,28216,Regional,General,Developed,North,,,,9803141001,,,,District 2,,,,1447108.335,563216.1885,Mecklenburg,35.283151,-80.852096
282,TNGP,Town Green Park,232 MATTHEWS STATION ST,232,,MATTHEWS STATION,ST,,MATTHEWS,NC,28105,Town Park,General,Developed,South,,,,7043217275,,,,District 6,,,,1486048.942,501683.885,Matthews,35.115949,-80.718409
124,COWW,Cowans Ford Wildlife Refuge,2329 NECK RD,0, ,NO ADDRESS, , ,HUNTERSVILLE,NC,28078,Nature Preserve,General,Developed,North,,,,9803141001,,,,District 1,1998/08/04 00:00:00+00,,,1411765.583,596232.0576,Mecklenburg,35.369615,-80.974489
275,CARM,Carmel Road Park,2365 CARMEL RD,2365, ,CARMEL,RD, ,CHARLOTTE,NC,28226,Neighborhood,General,Developed,South,,,,9803141003,,,District 6,District 5,1998/07/28 00:00:00+00,,,1459880.021,508712.683,Mecklenburg,35.133595,-80.807379
57,WCPK,West Charlotte Park,2401 KENDALL DR,2401, ,KENDALL,DR, ,CHARLOTTE,NC,28216,Neighborhood,General,Developed,Central,,,,9803141002,,,District 2,District 2,1998/07/28 00:00:00+00,,,1445799.331,557465.429,Mecklenburg,35.268339,-80.857355
112,WCLT,West Charlotte Recreation Center,2401 KENDALL DR,2401, ,KENDALL,DR, ,CHARLOTTE,NC,28216,Recreation Center,RecCenter,Developed,Central,,,,9803141002,,,District 2,District 2,1998/07/28 00:00:00+00,,,1445689.569,557814.6654,Mecklenburg,35.268339,-80.857355
198,AMJP,Amay James Park,2415 LESTER ST,2414, ,LESTER,ST, ,CHARLOTTE,NC,28208,Community,General,Undeveloped,Central,,,,9803141002,,,District 3,District 2,2007/05/01 00:00:00+00,,,1432091.481,534479.2239,Mecklenburg,35.203181,-80.90185
204,AMRC,Amay James Recreation Center & Annex,2425 LESTER ST,2425,,LESTER,ST,,CHARLOTTE,NC,28208,Recreation Center,RecCenter,Undeveloped,Central,,,,9803141002,,,District 3,District 2,,,,1431958.001,534153.0001,Mecklenburg,35.202741,-80.901689
233,MATH,Mecklenburg County Sports Complex,2425 SPORTS PY,0, ,NO ADDRESS, , ,MATTHEWS,NC,28105,Regional,General,Developed,South,,,,9803147539,,,,District 6,1998/10/06 00:00:00+00,,,1490721.298,498490.2704,Mecklenburg,35.111666,-80.699447
211,REVP,Revolution Park,2433 BARRINGER DR,2433, ,BARRINGER,DR, ,CHARLOTTE,NC,28208,Community,General,Developed,Central,,,,9803141002,,,District 3,District 2,1998/07/28 00:00:00+00,,,1439591.377,538625.5314,Mecklenburg,35.214812,-80.87515
230,FREE,Freedom Park,2435 CUMBERLAND AV,2435, ,CUMBERLAND,AV, ,CHARLOTTE,NC,28203,Regional,General,Developed,Central,,,,9803141002,,,District 1,District 5,2007/10/24 00:00:00+00,,,1448885.715,529821.9295,Mecklenburg,35.192768,-80.843871
138,DOWD,Dowd Park,2521 GREENLAND AV,2521, ,GREENLAND,AV, ,CHARLOTTE,NC,28208,Neighborhood,General,Under Construction,Central,,,,9803141002,,,District 3,District 2,1998/07/28 00:00:00+00,,,1437751.24,542495.8279,Mecklenburg,35.225836,-80.882187
15,MLDC,Mallard Creek Recreation Center,2530 JOHNSTON OEHLER RD,2530, ,JOHNSTON OEHLER,RD, ,CHARLOTTE,NC,28269,Recreation Center,RecCenter,Developed,North,,,,9803141121,,,District 4,District 1,1998/08/12 00:00:00+00,,,1475333.699,589500.0517,Mecklenburg,35.357032,-80.759755
306,RICE,Rice Park,2540 RICE RD,2540,,RICE,RD,,MATTHEWS,NC,28105,Town Park,General,Developed,South,,,,7043217275,,,,District 6,,,,1489992.169,510218.8085,Matthews,35.139288,-80.70583
164,SHAM,Shamrock Park,2545 JEFF ST,2545, ,JEFF,ST, ,CHARLOTTE,NC,28205,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1467349.193,545361.9667,Mecklenburg,35.234801,-80.783561
281,HIDD,Hidden Valley Park,260 NORTHCHASE DR,0, , , ,NO,CHARLOTTE,NC,28213,Neighborhood,General,Undeveloped,North,,,,9803141002,,,District 4,District 3,2000/05/23 00:00:00+00,,,1469748.13,555552.3194,Mecklenburg,35.263993,-80.776132
77,KLBN,Kilborne Park,2600 KILBORNE DR,2600, ,KILBORNE,DR, ,CHARLOTTE,NC,28205,Community,General,Developed,South,,,,9803141003,,,District 1,District 4,1998/07/28 00:00:00+00,,,1471109.586,539906.1002,Mecklenburg,35.220462,-80.771513
199,MLKP,Martin Luther King Jr. Park,2600 RAVENCROFT DR,2600, ,RAVENCROFT,DR, ,CHARLOTTE,NC,28208,Community,General,Developed,Central,,,,9803141002,,,District 2,District 2,1998/07/28 00:00:00+00,,,1441263.526,549621.5234,Mecklenburg,35.244134,-80.870708
292,DBLP,Double Oaks Park,2603 DOUBLE OAKS RD,2603, ,DOUBLE OAKS,RD, ,CHARLOTTE,NC,28206,Neighborhood,General,Undeveloped,Central,,,,9803141002,,,District 2,District 2,2008/05/14 00:00:00+00,,,1451262.341,553450.41,Mecklenburg,35.256501,-80.840366
33,SWCG,Smallwood Community Garden,2625 ROSLYN AV,2625,,ROSLYN,AV,,CHARLOTTE,NC,28208,Community Garden,Garden,Developed,Central,,,,9803141000,,,District 2,District 2,2018/08/24 00:00:00+00,,,1442650.311,550766.8097,Mecklenburg,35.249133,-80.866769
257,FALK,Faulkner Square Park,266 CONROY AV,266,,CONROY,AV,,DAVIDSON,NC,28036,Town Park,General,Developed,North,,,,7048923349,,,,District 1,,,,1454541.518,640409.6493,Davidson,35.495781,-80.832575
130,REVG,Charles L. Sifford Golf Course,2661 BARRINGER DR,2661, ,BARRINGER,DR, ,CHARLOTTE,NC,28208,Golf Course,Golf,Developed,Central,,,,9803141002,,,District 3,District 2,1998/07/28 00:00:00+00,,,1438529.898,537556.8295,Mecklenburg,35.212258,-80.879948
132,PRNP,Providence Nature Preserve,2710 PEVERELL LN,0, , , ,NO,CHARLOTTE,NC,28270,Nature Preserve,General,Undeveloped,South,,,,9803141003,,,District 7,District 6,2000/06/27 00:00:00+00,,,1474635.567,493859.5072,Mecklenburg,35.094791,-80.75794
206,WING,Wingate Park,2721 MAYFAIR AV,2731, ,MAYFAIR,AV, ,CHARLOTTE,NC,28208,Neighborhood,General,Developed,Central,,,,9803141002,,,District 3,District 2,1998/11/24 00:00:00+00,,,1430094.125,538449.6993,Mecklenburg,35.214682,-80.908002
